image_path,basename,folder_label,json_label
/content/drive/MyDrive/DATASET/fake_cifake_images/1.png,1.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/10.png,10.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/100.png,100.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/1000.png,1000.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/101.png,101.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/102.png,102.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/103.png,103.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/104.png,104.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/105.png,105.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/106.png,106.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/107.png,107.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/108.png,108.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/109.png,109.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/11.png,11.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/110.png,110.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/111.png,111.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/112.png,112.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/113.png,113.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/114.png,114.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/115.png,115.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/116.png,116.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/117.png,117.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/118.png,118.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/119.png,119.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/12.png,12.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/120.png,120.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/121.png,121.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/122.png,122.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/123.png,123.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/124.png,124.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/125.png,125.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/126.png,126.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/127.png,127.png,fake,real
/content/drive/MyDrive/DATASET/fake_cifake_images/128.png,128.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/129.png,129.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/13.png,13.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/130.png,130.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/131.png,131.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/132.png,132.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/133.png,133.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/134.png,134.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/135.png,135.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/136.png,136.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/137.png,137.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/138.png,138.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/139.png,139.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/14.png,14.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/140.png,140.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/141.png,141.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/142.png,142.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/143.png,143.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/144.png,144.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/145.png,145.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/146.png,146.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/147.png,147.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/148.png,148.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/149.png,149.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/15.png,15.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/150.png,150.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/151.png,151.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/152.png,152.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/153.png,153.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/154.png,154.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/155.png,155.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/156.png,156.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/157.png,157.png,fake,real
/content/drive/MyDrive/DATASET/fake_cifake_images/158.png,158.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/159.png,159.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/16.png,16.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/160.png,160.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/161.png,161.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/162.png,162.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/163.png,163.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/164.png,164.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/165.png,165.png,fake,fake
/content/drive/MyDrive/DATASET/fake_cifake_images/166.png,166.png,fake,fake
