feature,importance
emb_236,11949.111659871653
emb_176,5038.988578506146
emb_26,910.9095012646965
emb_131,620.270805996865
emb_227,484.5058907696821
emb_16,335.00247878793016
emb_164,243.25881659913566
emb_198,228.82791559556887
emb_232,207.0225894158457
emb_21,182.08110385574247
stdR,177.74868492059346
emb_228,173.15683389322817
emb_212,146.99629142048013
entropy,144.04890925558573
emb_146,133.66992717267547
emb_39,125.76202211264547
emb_233,121.15235831054801
stdG,121.12539631829031
emb_85,112.92405339574
emb_67,105.81263954974297
emb_84,105.46292104947229
noise_est,98.19464109040653
stdB,95.07516314125164
emb_216,89.40143074522089
emb_203,84.82004894445
ela_std,80.96194205017798
emb_95,79.28580769597417
emb_15,75.74498651680113
emb_10,71.33229718586703
emb_169,69.48768330882142
emb_204,68.60201570719087
emb_229,66.8564669274083
emb_252,66.44492840008927
emb_128,65.41463618027561
emb_154,64.90235890165513
emb_148,63.97588862891887
ela_mean,63.630584674844854
emb_60,62.5170230786105
emb_186,61.452112971907056
emb_205,60.118954317277144
emb_0,59.319450453340906
emb_28,58.42417142405009
emb_104,56.0487975751264
emb_166,53.47051332609642
dct_mean,53.19417706214135
emb_161,52.996323551196625
emb_151,52.53014371649781
emb_23,51.99568914591989
emb_114,51.0195337162279
emb_51,50.40880141789923
emb_73,50.17245900328909
emb_34,49.50331284010942
emb_230,48.98526596874591
emb_184,48.90432120989173
meanR,47.64723984134015
emb_64,46.80812687657283
emb_78,46.17756670830117
emb_47,45.97369059051529
emb_224,44.85270452853748
emb_72,44.16338047038487
emb_36,44.09098431457921
emb_62,42.934217295274806
emb_56,41.310134398854814
emb_46,41.081192754077065
emb_75,39.60493689658059
emb_171,39.477213517183955
emb_207,39.175423177235025
emb_153,38.768495348277625
emb_140,37.81604371573158
fft_mean,36.28783731922723
edge_density,35.949147137097945
emb_162,35.6008611685797
emb_240,35.34742319214698
emb_183,34.86176159916231
emb_179,34.35866812239734
emb_167,34.17187316332775
emb_192,33.81994659969594
emb_149,33.68410080633455
emb_80,32.46649877894664
emb_225,32.41939722369942
emb_248,32.298170748725674
emb_160,32.235295586871885
emb_221,32.03507744318201
emb_111,31.959132377600554
emb_50,31.833100685126812
emb_89,31.197804924684863
meanB,30.820483786278864
emb_159,30.803358534265698
emb_25,30.752516656236207
emb_126,30.09052358539351
emb_97,29.960145667797452
emb_170,29.34398000147677
emb_27,29.25076255435652
emb_8,29.246117129707905
emb_217,28.564407567305544
emb_138,28.272470748508432
emb_244,28.12439207131605
emb_194,27.603408958131876
emb_152,27.34760727679212
emb_174,27.307221151836927
emb_109,27.247319575416448
emb_234,26.96869665608467
emb_178,26.82093607063473
sharp_var,26.746251738268484
meanG,26.511741674965396
emb_43,26.356842118749306
emb_136,25.939100265068475
emb_241,25.922413767090156
emb_121,25.742286517408683
emb_76,25.399974769156515
emb_177,24.86218803538212
emb_41,24.808462407771373
emb_58,24.525094284496213
emb_226,24.503234301271796
emb_49,24.409248704622463
emb_135,24.261363738630664
emb_199,23.792422288474572
emb_215,23.50660679735403
emb_238,23.505328872969617
emb_202,23.391380086744043
emb_245,22.721804345530888
emb_38,22.509105014836248
emb_249,22.47048236101154
emb_20,22.002803138677102
emb_55,21.597300086493515
emb_180,21.52179231535792
emb_107,21.44381519421311
emb_210,21.318339362090246
emb_193,21.12143715464279
emb_242,21.0484785592974
emb_102,20.68730401871783
emb_189,20.65729520067031
emb_173,20.01201574827245
emb_5,20.002210251487725
emb_181,19.921283638472055
emb_9,19.87163124741848
emb_71,19.599509096087637
emb_29,19.547242654508267
emb_139,19.254902372209095
emb_188,18.95594315342697
emb_13,18.89397751091831
emb_214,18.54767231003258
emb_144,18.513272881830385
emb_206,18.464618865079853
emb_106,18.413810233044234
emb_157,18.327545886608732
emb_175,18.31776350522765
emb_6,18.232728120497946
emb_93,18.207654588363837
emb_141,18.202519111319056
emb_187,18.18284610157471
emb_74,18.141337476166292
emb_122,18.10239525559201
emb_83,17.975781094769903
emb_86,17.892856847924868
emb_156,17.81714922652406
emb_31,17.80889658012588
emb_123,17.661120279224406
emb_2,17.583526860647765
emb_213,17.408014723853494
emb_69,17.37758975536075
emb_247,17.123379492949084
emb_143,17.05574443116791
emb_182,17.020100108115223
emb_12,17.00340382631426
emb_37,16.99630340944187
emb_172,16.925873001074375
emb_200,16.902880984519065
emb_124,16.8435290078967
emb_145,16.63280706688308
emb_91,16.56388515271047
emb_77,16.504538508583373
emb_14,16.429592382248508
emb_211,16.42263145653876
emb_70,16.39545346835046
emb_129,16.384011957413446
emb_52,16.25850503681124
emb_208,16.071158887751864
emb_209,15.968306218076364
emb_100,15.955904902305218
emb_222,15.930134977740554
emb_219,15.881754288046665
emb_24,15.83095417245021
emb_251,15.749119290415376
brightness,15.729199436468798
emb_190,15.62333802694046
emb_35,14.914636040084133
emb_150,14.890905109625606
emb_115,14.799015320628296
emb_246,14.569453623757136
emb_54,14.487801432549116
emb_18,14.340911004133158
emb_99,14.320776777829764
emb_158,14.30099659527642
emb_254,14.255879801247545
emb_231,14.2277096795933
emb_19,14.082518891646004
emb_48,13.498625253944175
emb_118,13.482380389799166
emb_235,13.452329617519695
emb_142,13.109156396195544
emb_44,12.962922487448512
emb_197,12.817406575911416
emb_53,12.786926054974526
emb_98,12.243405223139543
emb_255,12.182911152357681
emb_195,12.146220363361497
emb_61,12.062512787139022
emb_127,12.000345873664953
emb_59,11.943533435743149
emb_168,11.85606250485188
emb_42,11.78228569169685
emb_65,11.74307263069462
emb_243,11.670902387177895
emb_11,11.659802232559688
emb_66,11.54944623073349
emb_17,11.24384147982093
emb_119,11.10353404640026
emb_137,11.10144396152813
emb_92,11.026881927711448
emb_132,10.867526015532865
emb_1,10.843181286237904
emb_163,10.79774948113425
emb_4,10.789191478717985
emb_116,10.778983062559632
emb_68,10.730091082416457
emb_7,10.728462190927692
emb_79,10.548853811589902
emb_88,10.377100351756797
emb_220,10.349169543799347
emb_113,10.178743715525993
emb_94,10.155670601548945
emb_63,10.044186076377494
emb_101,10.000808123593238
emb_237,9.80993901081899
emb_196,9.731984792768014
emb_103,9.66579868713579
emb_130,9.554875479679708
emb_185,9.288332989466141
emb_133,9.281958780948605
emb_90,9.229320467741388
emb_32,9.081063378638143
emb_253,8.826945554843553
emb_30,8.791727183437331
emb_165,8.771447591329855
emb_112,8.765437988927834
emb_110,8.563430394697292
emb_81,8.45772236518014
emb_105,8.390500044907355
emb_218,7.704936486054566
emb_117,7.54431699790752
emb_87,7.405914351822693
emb_57,7.285868652416291
emb_125,7.2678669777680085
emb_82,7.222422948477598
emb_134,7.053195398758762
emb_223,6.776446144488541
emb_191,6.68038979417941
emb_155,6.6693236243095955
emb_108,5.808021070028497
emb_3,5.727727004409687
emb_147,5.508678728074676
emb_96,5.467616508751646
emb_33,5.147311008397562
emb_22,5.095125886194898
emb_40,4.862065816516216
emb_250,4.480971924344462
emb_201,3.8937136609954934
emb_239,3.5598199507901995
emb_45,2.8211707326048936
emb_120,2.448784339897659
